# gazetteer.tsv — bundled offline place index for the radius filter (R-105).
# Format: name<TAB>aliases(|-separated)<TAB>lat<TAB>lon<TAB>country-code<TAB>type(postal|city|region|country)<TAB>population
# Sources:
#   GeoNames (cities15000.txt, DK.txt, countryInfo.txt) — https://www.geonames.org/
#     Licensed under CC-BY 4.0 (https://creativecommons.org/licenses/by/4.0/).
#   DAWA / Danmarks Adresser (postnumre, regioner) — https://dataforsyningen.dk/
#     Free Danish public-sector data from SDFI/Klimadatastyrelsen.
# Generated once by a throwaway script; regenerate rather than hand-edit rows.
København K	1174|Copenhagen K	55.68241	12.57248	DK	postal	0
København K	1175|Copenhagen K	55.68256	12.57415	DK	postal	0
København K	1200|Copenhagen K	55.67820	12.57982	DK	postal	0
København K	1201|Copenhagen K	55.67813	12.57788	DK	postal	0
København K	1202|Copenhagen K	55.67779	12.57894	DK	postal	0
København K	1203|Copenhagen K	55.67655	12.57680	DK	postal	0
København K	1204|Copenhagen K	55.67653	12.57548	DK	postal	0
København K	1205|Copenhagen K	55.67724	12.57678	DK	postal	0
København K	1206|Copenhagen K	55.67755	12.57706	DK	postal	0
København K	1207|Copenhagen K	55.67811	12.57662	DK	postal	0
København K	1208|Copenhagen K	55.67697	12.57501	DK	postal	0
København K	1209|Copenhagen K	55.67789	12.57573	DK	postal	0
København K	1210|Copenhagen K	55.67810	12.57426	DK	postal	0
København K	1211|Copenhagen K	55.67751	12.57422	DK	postal	0
København K	1212|Copenhagen K	55.67703	12.57874	DK	postal	0
København K	1213|Copenhagen K	55.67665	12.57780	DK	postal	0
København K	1214|Copenhagen K	55.67457	12.57976	DK	postal	0
København K	1215|Copenhagen K	55.67544	12.58577	DK	postal	0
København K	1216|Copenhagen K	55.67524	12.58304	DK	postal	0
København K	1218|Copenhagen K	55.67606	12.58039	DK	postal	0
København K	1219|Copenhagen K	55.67371	12.58340	DK	postal	0
København K	1220|Copenhagen K	55.67358	12.57862	DK	postal	0
København K	1221|Copenhagen K	55.67284	12.58192	DK	postal	0
København K	1250|Copenhagen K	55.68203	12.58976	DK	postal	0
København K	1251|Copenhagen K	55.67961	12.59499	DK	postal	0
København K	1252|Copenhagen K	55.68145	12.59617	DK	postal	0
København K	1253|Copenhagen K	55.68477	12.59699	DK	postal	0
København K	1254|Copenhagen K	55.68100	12.59035	DK	postal	0
København K	1255|Copenhagen K	55.68117	12.58863	DK	postal	0
København K	1256|Copenhagen K	55.68580	12.59417	DK	postal	0
København K	1257|Copenhagen K	55.68446	12.59279	DK	postal	0
København K	1259|Copenhagen K	55.70490	12.61542	DK	postal	0
København K	1260|Copenhagen K	55.68379	12.59009	DK	postal	0
København K	1261|Copenhagen K	55.68192	12.58695	DK	postal	0
København K	1263|Copenhagen K	55.68877	12.59622	DK	postal	0
København K	1264|Copenhagen K	55.68424	12.58757	DK	postal	0
København K	1265|Copenhagen K	55.68486	12.58944	DK	postal	0
København K	1266|Copenhagen K	55.68790	12.59099	DK	postal	0
København K	1267|Copenhagen K	55.68828	12.59038	DK	postal	0
København K	1268|Copenhagen K	55.68881	12.59031	DK	postal	0
København K	1270|Copenhagen K	55.68984	12.59088	DK	postal	0
København K	1271|Copenhagen K	55.68924	12.58982	DK	postal	0
København K	1300|Copenhagen K	55.68267	12.58427	DK	postal	0
København K	1301|Copenhagen K	55.68334	12.58588	DK	postal	0
København K	1302|Copenhagen K	55.68448	12.58410	DK	postal	0
København K	1303|Copenhagen K	55.68595	12.58838	DK	postal	0
København K	1304|Copenhagen K	55.68333	12.58307	DK	postal	0
København K	1306|Copenhagen K	55.68431	12.58135	DK	postal	0
København K	1307|Copenhagen K	55.68643	12.57999	DK	postal	0
København K	1308|Copenhagen K	55.68653	12.58479	DK	postal	0
København K	1309|Copenhagen K	55.68721	12.58342	DK	postal	0
København K	1310|Copenhagen K	55.68594	12.59030	DK	postal	0
København K	1311|Copenhagen K	55.68812	12.58381	DK	postal	0
København K	1312|Copenhagen K	55.68764	12.58584	DK	postal	0
København K	1313|Copenhagen K	55.68704	12.58895	DK	postal	0
København K	1314|Copenhagen K	55.68751	12.58634	DK	postal	0
København K	1315|Copenhagen K	55.68763	12.58792	DK	postal	0
København K	1316|Copenhagen K	55.68831	12.58283	DK	postal	0
København K	1317|Copenhagen K	55.68897	12.58191	DK	postal	0
København K	1318|Copenhagen K	55.68847	12.58478	DK	postal	0
København K	1319|Copenhagen K	55.68803	12.58712	DK	postal	0
København K	1320|Copenhagen K	55.68847	12.58749	DK	postal	0
København K	1321|Copenhagen K	55.68792	12.58955	DK	postal	0
København K	1322|Copenhagen K	55.68836	12.58942	DK	postal	0
København K	1323|Copenhagen K	55.68967	12.58574	DK	postal	0
København K	1324|Copenhagen K	55.68931	12.58713	DK	postal	0
København K	1325|Copenhagen K	55.68932	12.58848	DK	postal	0
København K	1326|Copenhagen K	55.68963	12.58839	DK	postal	0
København K	1327|Copenhagen K	55.69037	12.58724	DK	postal	0
København K	1328|Copenhagen K	55.68992	12.58837	DK	postal	0
København K	1329|Copenhagen K	55.68915	12.58464	DK	postal	0
København K	1350|Copenhagen K	55.68660	12.57591	DK	postal	0
København K	1352|Copenhagen K	55.68939	12.57311	DK	postal	0
København K	1353|Copenhagen K	55.68705	12.57120	DK	postal	0
København K	1354|Copenhagen K	55.68980	12.57096	DK	postal	0
København K	1355|Copenhagen K	55.68872	12.57123	DK	postal	0
København K	1356|Copenhagen K	55.68717	12.56804	DK	postal	0
København K	1357|Copenhagen K	55.68858	12.56796	DK	postal	0
København K	1358|Copenhagen K	55.68057	12.56696	DK	postal	0
København K	1359|Copenhagen K	55.68365	12.56421	DK	postal	0
København K	1360|Copenhagen K	55.68568	12.56656	DK	postal	0
København K	1361|Copenhagen K	55.68296	12.56877	DK	postal	0
København K	1362|Copenhagen K	55.68488	12.56993	DK	postal	0
København K	1363|Copenhagen K	55.68513	12.56557	DK	postal	0
København K	1364|Copenhagen K	55.68208	12.56643	DK	postal	0
København K	1365|Copenhagen K	55.68208	12.56444	DK	postal	0
København K	1366|Copenhagen K	55.68208	12.56325	DK	postal	0
København K	1367|Copenhagen K	55.68311	12.56360	DK	postal	0
København K	1368|Copenhagen K	55.68138	12.56379	DK	postal	0
